"Data","Ora","PrezzoZonale","Quantita","Prezzo"
2023-11-01,"3",50.43919,272.788,-11
2023-11-01,"3",50.43919,123,-18.98
2023-11-01,"3",50.43919,9.7,-20.34
2023-11-01,"3",50.43919,2.5,-50
2023-11-01,"3",50.43919,0.976,-100
2023-11-01,"3",50.43919,952.67,-500
2023-11-02,"1",85.01,0.001,800
2023-11-02,"1",85.01,7.5,700
2023-11-02,"1",85.01,0.003,632
2023-11-02,"1",85.01,21.7,499
2023-11-02,"1",85.01,20,400
2023-11-02,"1",85.01,100,325.19
2023-11-02,"1",85.01,4303,291.82
2023-11-02,"1",85.01,40,289
2023-11-02,"1",85.01,15.2,270
2023-11-02,"1",85.01,12,269.77
2023-11-02,"1",85.01,288,262.1
2023-11-02,"1",85.01,5,260
2023-11-02,"1",85.01,2010,255.69
2023-11-02,"1",85.01,407.364,251.82
2023-11-02,"1",85.01,4038.319,251.3
2023-11-02,"1",85.01,278.424,250.3
2023-11-02,"1",85.01,228,249.3
2023-11-02,"1",85.01,340.7,245.01
2023-11-02,"1",85.01,60,245
2023-11-02,"1",85.01,37,244
2023-11-02,"1",85.01,10,243
2023-11-02,"1",85.01,83,242
2023-11-02,"1",85.01,47.945,240
2023-11-02,"1",85.01,70,238.22
2023-11-02,"1",85.01,696.1,235.01
2023-11-02,"1",85.01,30,234.56
2023-11-02,"1",85.01,731.1,230.01
2023-11-02,"1",85.01,50,230
2023-11-02,"1",85.01,17.785,228.6
2023-11-02,"1",85.01,96,225
2023-11-02,"1",85.01,29,223.97
2023-11-02,"1",85.01,350.7,220.01
2023-11-02,"1",85.01,26.7,220
2023-11-02,"1",85.01,105.3,219.69
2023-11-02,"1",85.01,70,219
2023-11-02,"1",85.01,2482,215
2023-11-02,"1",85.01,319.5,210
2023-11-02,"1",85.01,2,206.98
2023-11-02,"1",85.01,2479.9,200
2023-11-02,"1",85.01,44.766,198.9
2023-11-02,"1",85.01,330,195.1
2023-11-02,"1",85.01,377.1,195
2023-11-02,"1",85.01,72,190
2023-11-02,"1",85.01,16,180.49
2023-11-02,"1",85.01,236.6,180
2023-11-02,"1",85.01,63,176.02
2023-11-02,"1",85.01,340,171.48
2023-11-02,"1",85.01,360,170
2023-11-02,"1",85.01,35.2,165
2023-11-02,"1",85.01,370,163.41
2023-11-02,"1",85.01,20,163.03
2023-11-02,"1",85.01,2,161.2
2023-11-02,"1",85.01,214.2,160
2023-11-02,"1",85.01,35.682,158.8
2023-11-02,"1",85.01,72,157.6
2023-11-02,"1",85.01,368,157.45
2023-11-02,"1",85.01,215.6,155
2023-11-02,"1",85.01,72,154.6
2023-11-02,"1",85.01,53.916,154.1
2023-11-02,"1",85.01,72.3,152.9
2023-11-02,"1",85.01,45.72,152.1
2023-11-02,"1",85.01,164,150
2023-11-02,"1",85.01,87,149.99
2023-11-02,"1",85.01,99,149
2023-11-02,"1",85.01,60,148
2023-11-02,"1",85.01,60,146
2023-11-02,"1",85.01,70,145
2023-11-02,"1",85.01,5,142.5
2023-11-02,"1",85.01,85,140
2023-11-02,"1",85.01,7,137
2023-11-02,"1",85.01,370,135.63
2023-11-02,"1",85.01,10,132
